Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,0:00:00,94,,,,,,,,
,0:00:01,95,,,,,,,,
,0:00:02,100,,,,,,,,
,0:00:03,99,,,,,,,,
,0:00:04,89,,,,,,,,
,0:00:05,89,,,,,,,,
,0:00:06,90,,,,,,,,
,0:00:07,91,,,,,,,,
,0:00:08,94,,,,,,,,
,0:00:09,95,,,,,,,,
,0:00:10,96,,,,,,,,
,0:00:11,97,,,,,,,,
,0:00:12,97,,,,,,,,
,0:00:13,96,,,,,,,,
,0:00:14,96,,,,,,,,
,0:00:15,97,,,,,,,,
,0:00:16,96,,,,,,,,
,0:00:17,96,,,,,,,,
,0:00:18,97,,,,,,,,
,0:00:19,100,,,,,,,,
,0:00:20,103,,,,,,,,
,0:00:21,105,,,,,,,,
,0:00:22,106,,,,,,,,
,0:00:23,106,,,,,,,,
,0:00:24,107,,,,,,,,
,0:00:25,110,,,,,,,,
,0:00:26,110,,,,,,,,
,0:00:27,111,,,,,,,,
,0:00:28,112,,,,,,,,
,0:00:29,113,,,,,,,,
,0:00:30,113,,,,,,,,
,0:00:31,113,,,,,,,,
,0:00:32,114,,,,,,,,
,0:00:33,115,,,,,,,,
,0:00:34,115,,,,,,,,
,0:00:35,115,,,,,,,,
,0:00:36,115,,,,,,,,
,0:00:37,116,,,,,,,,
,0:00:38,115,,,,,,,,
,0:00:39,115,,,,,,,,
,0:00:40,115,,,,,,,,
,0:00:41,115,,,,,,,,
,0:00:42,115,,,,,,,,
,0:00:43,115,,,,,,,,
,0:00:44,116,,,,,,,,
,0:00:45,117,,,,,,,,
,0:00:46,118,,,,,,,,
,0:00:47,119,,,,,,,,
,0:00:48,120,,,,,,,,
,0:00:49,119,,,,,,,,
,0:00:50,119,,,,,,,,
,0:00:51,117,,,,,,,,
,0:00:52,117,,,,,,,,
,0:00:53,116,,,,,,,,
,0:00:54,116,,,,,,,,
,0:00:55,116,,,,,,,,
,0:00:56,116,,,,,,,,
,0:00:57,118,,,,,,,,
,0:00:58,118,,,,,,,,
,0:00:59,118,,,,,,,,
,0:01:00,118,,,,,,,,
,0:01:01,119,,,,,,,,
,0:01:02,118,,,,,,,,
,0:01:03,119,,,,,,,,
,0:01:04,119,,,,,,,,
,0:01:05,120,,,,,,,,
,0:01:06,120,,,,,,,,
,0:01:07,121,,,,,,,,
,0:01:08,121,,,,,,,,
,0:01:09,122,,,,,,,,
,0:01:10,122,,,,,,,,
,0:01:11,121,,,,,,,,
,0:01:12,122,,,,,,,,
,0:01:13,122,,,,,,,,
,0:01:14,123,,,,,,,,
,0:01:15,123,,,,,,,,
,0:01:16,123,,,,,,,,
,0:01:17,123,,,,,,,,
,0:01:18,122,,,,,,,,
,0:01:19,121,,,,,,,,
,0:01:20,122,,,,,,,,
,0:01:21,121,,,,,,,,
,0:01:22,121,,,,,,,,
,0:01:23,122,,,,,,,,
,0:01:24,122,,,,,,,,
,0:01:25,122,,,,,,,,
,0:01:26,121,,,,,,,,
,0:01:27,122,,,,,,,,
,0:01:28,123,,,,,,,,
,0:01:29,124,,,,,,,,
,0:01:30,125,,,,,,,,
,0:01:31,125,,,,,,,,
,0:01:32,126,,,,,,,,
,0:01:33,126,,,,,,,,
,0:01:34,126,,,,,,,,
,0:01:35,126,,,,,,,,
,0:01:36,125,,,,,,,,
,0:01:37,125,,,,,,,,
,0:01:38,122,,,,,,,,
,0:01:39,121,,,,,,,,
,0:01:40,121,,,,,,,,
,0:01:41,122,,,,,,,,
,0:01:42,124,,,,,,,,
,0:01:43,124,,,,,,,,
,0:01:44,121,,,,,,,,
,0:01:45,121,,,,,,,,
,0:01:46,118,,,,,,,,
,0:01:47,118,,,,,,,,
,0:01:48,118,,,,,,,,
,0:01:49,119,,,,,,,,
,0:01:50,120,,,,,,,,
,0:01:51,120,,,,,,,,
,0:01:52,120,,,,,,,,
,0:01:53,120,,,,,,,,
,0:01:54,120,,,,,,,,
,0:01:55,121,,,,,,,,
,0:01:56,123,,,,,,,,
,0:01:57,125,,,,,,,,
,0:01:58,126,,,,,,,,
,0:01:59,127,,,,,,,,
,0:02:00,127,,,,,,,,
,0:02:01,124,,,,,,,,
,0:02:02,121,,,,,,,,
,0:02:03,121,,,,,,,,
,0:02:04,121,,,,,,,,
,0:02:05,119,,,,,,,,
,0:02:06,119,,,,,,,,
,0:02:07,119,,,,,,,,
,0:02:08,119,,,,,,,,
,0:02:09,119,,,,,,,,
,0:02:10,120,,,,,,,,
,0:02:11,124,,,,,,,,
,0:02:12,126,,,,,,,,
,0:02:13,127,,,,,,,,
,0:02:14,126,,,,,,,,
,0:02:15,125,,,,,,,,
,0:02:16,121,,,,,,,,
,0:02:17,118,,,,,,,,
,0:02:18,116,,,,,,,,
,0:02:19,116,,,,,,,,
,0:02:20,116,,,,,,,,
,0:02:21,117,,,,,,,,
,0:02:22,117,,,,,,,,
,0:02:23,118,,,,,,,,
,0:02:24,118,,,,,,,,
,0:02:25,119,,,,,,,,
,0:02:26,120,,,,,,,,
,0:02:27,121,,,,,,,,
,0:02:28,122,,,,,,,,
